date,regime
2022-05-26,rate_hike
2022-05-27,rate_hike
2022-05-30,rate_hike
2022-05-31,rate_hike
2022-06-01,rate_hike
2022-06-02,rate_hike
2022-06-03,rate_hike
2022-06-06,rate_hike
2022-06-07,rate_hike
2022-06-08,rate_hike
2022-06-09,rate_hike
2022-06-10,rate_hike
2022-06-13,rate_hike
2022-06-14,rate_hike
2022-06-15,rate_hike
2022-06-16,rate_hike
2022-06-17,rate_hike
2022-06-20,rate_hike
2022-06-21,rate_hike
2022-06-22,rate_hike
2022-06-23,rate_hike
2022-06-24,rate_hike
2022-06-27,rate_hike
2022-06-28,rate_hike
2022-06-29,rate_hike
2022-06-30,rate_hike
2022-07-01,rate_hike
2022-07-04,rate_hike
2022-07-05,rate_hike
2022-07-06,rate_hike
2022-07-07,rate_hike
2022-07-08,rate_hike
2022-07-11,rate_hike
2022-07-12,rate_hike
2022-07-13,rate_hike
2022-07-14,rate_hike
2022-07-15,rate_hike
2022-07-18,rate_hike
2022-07-19,rate_hike
2022-07-20,rate_hike
2022-07-21,rate_hike
2022-07-22,rate_hike
2022-07-25,rate_hike
2022-07-26,rate_hike
2022-07-27,rate_hike
2022-07-28,rate_hike
2022-07-29,rate_hike
2022-08-01,rate_hike
2022-08-02,rate_hike
2022-08-03,rate_hike
2022-08-04,rate_hike
2022-08-05,rate_hike
2022-08-08,rate_hike
2022-08-09,rate_hike
2022-08-10,rate_hike
2022-08-11,rate_hike
2022-08-12,rate_hike
2022-08-15,rate_hike
2022-08-16,rate_hike
2022-08-17,rate_hike
2022-08-18,rate_hike
2022-08-19,rate_hike
2022-08-22,rate_hike
2022-08-23,rate_hike
2022-08-24,rate_hike
2022-08-25,rate_hike
2022-08-26,rate_hike
2022-08-29,rate_hike
2022-08-30,rate_hike
2022-08-31,rate_hike
2022-09-01,rate_hike
2022-09-02,rate_hike
2022-09-05,rate_hike
2022-09-06,rate_hike
2022-09-07,rate_hike
2022-09-08,rate_hike
2022-09-09,rate_hike
2022-09-12,rate_hike
2022-09-13,rate_hike
2022-09-14,rate_hike
2022-09-15,rate_hike
2022-09-16,rate_hike
2022-09-19,rate_hike
2022-09-20,rate_hike
2022-09-21,rate_hike
2022-09-22,rate_hike
2022-09-23,rate_hike
2022-09-26,rate_hike
2022-09-27,rate_hike
2022-09-28,rate_hike
2022-09-29,rate_hike
2022-09-30,rate_hike
2022-10-03,rate_hike
2022-10-04,rate_hike
2022-10-05,rate_hike
2022-10-06,rate_hike
2022-10-07,rate_hike
2022-10-10,rate_hike
2022-10-11,rate_hike
2022-10-12,rate_hike
2022-10-13,rate_hike
2022-10-14,rate_hike
2022-10-17,rate_hike
2022-10-18,rate_hike
2022-10-19,rate_hike
2022-10-20,rate_hike
2022-10-21,rate_hike
2022-10-24,rate_hike
2022-10-25,rate_hike
2022-10-26,rate_hike
2022-10-27,rate_hike
2022-10-28,rate_hike
2022-10-31,rate_hike
2022-11-01,rate_hike
2022-11-02,rate_hike
2022-11-03,rate_hike
2022-11-04,rate_hike
2022-11-07,rate_hike
2022-11-08,rate_hike
2022-11-09,rate_hike
2022-11-10,rate_hike
2022-11-11,rate_hike
2022-11-14,rate_hike
2022-11-15,rate_hike
2022-11-16,rate_hike
2022-11-17,rate_hike
2022-11-18,rate_hike
2022-11-21,rate_hike
2022-11-22,rate_hike
2022-11-23,rate_hike
2022-11-24,rate_hike
2022-11-25,rate_hike
2022-11-28,rate_hike
2022-11-29,rate_hike
2022-11-30,rate_hike
2022-12-01,rate_hike
2022-12-02,rate_hike
2022-12-05,rate_hike
2022-12-06,rate_hike
2022-12-07,rate_hike
2022-12-08,rate_hike
2022-12-09,rate_hike
2022-12-12,rate_hike
2022-12-13,rate_hike
2022-12-14,rate_hike
2022-12-15,rate_hike
2022-12-16,rate_hike
2022-12-19,rate_hike
2022-12-20,rate_hike
2022-12-21,rate_hike
2022-12-22,rate_hike
2022-12-23,rate_hike
2022-12-26,rate_hike
2022-12-27,rate_hike
2022-12-28,rate_hike
2022-12-29,rate_hike
2022-12-30,rate_hike
2023-01-02,recovery
2023-01-03,recovery
2023-01-04,recovery
2023-01-05,recovery
2023-01-06,recovery
2023-01-09,recovery
